jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc
Connecticut (CT),Partnership,Composite Income Tax Return,CT-1120SI,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_booklet_1217.pdf,,,yes,,4/15/2018,15  day of the fourth month following the close of the taxable year,4/15/2018,"5 months, but only only if federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income Tax, Information, and Other Returns, has been filed"
Illinois (IL),Partnership,Partnership Replacement Tax Return,IL-1065,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Partnership/IL-1065.pdf,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/Partnership/IL-1065-Instr.pdf,,,,,4/15/2018,15th day of the 4rd month following fiscal year end,,AUTOMATIC
Louisiana (LA),Partnership,Partnership Return of Income,IT-565,http://revenue.louisiana.gov/TaxForms/565(1_17).pdf,http://revenue.louisiana.gov/TaxForms/565(1_17).pdf,,,Y,,4/15/2018, 15th day of the fourth month after the close of the fiscal period,10/15/2018,6 months
New Jersey (NJ),Partnership,Partnership Return,NJ-1065,http://www.state.nj.us/treasury/taxation/pdf/current/part/1065part.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/part/1065i.pdf,,,Y,Depends,4/15/2018,15th day of the fourth month after the end of the tax year,9/15/2018,"5 month ext; automatic with Fed extension, however, if you did not obtain a Federal extension and you need more time to file your New Jersey Form NJ-1065, Federal Form 7004 must be submitted as your request to New Jersey on or before the original due date of the return - see the return instructions for detail"
New York (NY),Partnership,Partnership Return,IT-204,https://www.tax.ny.gov/pdf/current_forms/it/it204_fill_in.pdf?_ga=2.221085976.1824729858.1515595587-422374619.1515170541,https://www.tax.ny.gov/pdf/current_forms/it/it204i.pdf,,,Y,,3/15/2018,"15th day of the third month after the end of the tax year
(SEE EXT INSTRUCTIONS FOR ADDITIONAL EXCEPTIONS)",9/15/2018,6 month ext
North Carolina (NC),Partnership,PARTNERSHIP INCOME TAX RETURN,D-403,https://files.nc.gov/ncdor/documents/files/2017_d-403_webfill.pdf?iGfP5rkRat.0mAt5X7wPkeBQ3Kr9fNRx,https://files.nc.gov/ncdor/documents/files/2017_d-403a_web.pdf?JSvJNcJ0Neut56LOhpMgS_ApC1vaU0ip,,,Y,,4/17/2018,,10/15/2018,"bottom right of Form D-410. To receive the additional 2 month extension, file Form D-410 by August"
North Dakota (ND),Partnership,Partnership Income Tax Return,58,https://www.nd.gov/tax/data/upfiles/media/form-58_1.pdf?20180111101132,https://www.nd.gov/tax/data/upfiles/media/corporate-income-tax-booklet.pdf?20180111101423,,,,,3/15/2018,,9/15/2017,
Pennsylvania (PA),Partnership,S Corporation/Partnership,PA-20S/PA-65,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,,,Y,,4/15/2018,15th day of the fourth month following the close of the fiscal year,9/15/2018,
Virginia (VA),Partnership,Return of Income and Return of Nonresident withholding Tax,502,https://www.tax.virginia.gov/sites/default/files/taxforms/corporation-and-pass-through-entity-tax/2016/502-2016.pdf,https://www.tax.virginia.gov/sites/default/files/2016-12/502-2016-instructions.pdf,,,y,Y,4/15/2018,15th day of the 4th month after the close of the entity’s taxable year,10/15/2018,"6 month ext; An automatic extension of time to file is granted to the date 6 months after the due date for filing Form 502 or 30 days after the extended due date for filing the federal income tax return, whichever is later (see return instructions for details))"
Alabama (AL),S-Corp,Department of Revenue S Corporation Information/Tax Return,20S,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20s.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20sinstr.pdf,,,Yes,,3/15/2018,15th day of the 3rd month following fiscal year end,9/15/2018,6 month ext
